,Condensate ID,x_corr,y_corr,frame,area_cond,Frames visible,t,Condition,Video
35,20,4.731995089467306,3.758949712637395,14,390,23,13,Non-Confined,8104
36,20,4.921679080286329,3.532203193743541,15,436,23,14,Non-Confined,8104
37,20,4.827325561401494,4.088721120857117,16,477,23,15,Non-Confined,8104
38,20,4.727421987024767,4.797707391771225,17,521,23,16,Non-Confined,8104
39,20,5.161156279866393,3.897835021475006,18,614,23,17,Non-Confined,8104
40,20,5.568952689592381,3.251614729576201,19,458,23,18,Non-Confined,8104
41,20,5.247631628327042,3.902123576509941,20,608,23,19,Non-Confined,8104
42,20,4.58345388605602,4.631400242083735,21,399,23,20,Non-Confined,8104
43,20,5.852962631052031,3.897873535255234,22,813,23,21,Non-Confined,8104
44,20,1.8729720205137064,6.231063266165578,23,624,23,22,Non-Confined,8104
45,21,-2.8494187496695056,6.242031261661769,4,84,16,0,Non-Confined,8104
46,21,-2.2373191601998585,6.445661903632332,5,72,16,1,Non-Confined,8104
47,21,-2.0745508901875707,6.529328201150228,6,86,16,2,Non-Confined,8104
48,21,-1.9512226508574526,6.725924503168845,7,92,16,3,Non-Confined,8104
49,21,-1.7474225595636588,6.708923556542568,8,94,16,4,Non-Confined,8104
50,21,-1.1819640774658804,6.837447103324704,9,81,16,5,Non-Confined,8104
51,21,-0.7013351613302754,7.037360372351083,10,102,16,6,Non-Confined,8104
52,21,-0.9155091891202132,7.08582022933462,11,47,16,7,Non-Confined,8104
53,21,-1.6395986690285758,6.872455862634285,15,77,16,8,Non-Confined,8104
54,21,-2.2960823935906443,6.530981370464035,16,128,16,9,Non-Confined,8104
55,21,-1.9734863064528272,6.130589285970119,18,125,16,10,Non-Confined,8104
56,21,-1.3359442990740986,6.30836113768383,19,173,16,11,Non-Confined,8104
57,21,-1.9144631384193684,6.4615869396569625,20,242,16,12,Non-Confined,8104
58,21,-2.8137867858364776,6.100825415655963,21,235,16,13,Non-Confined,8104
59,21,-2.1261055455607685,5.908455762637853,22,116,16,14,Non-Confined,8104
60,21,-4.631883292393723,4.46027905006388,23,118,16,15,Non-Confined,8104
0,22,-4.254946750771186,-5.226397110676338,1,97,27,0,Non-Confined,8105
1,22,-3.543955561867146,-5.4628388620139665,2,806,27,1,Non-Confined,8105
2,22,-4.273917020025005,-4.543555303777204,3,1407,27,2,Non-Confined,8105
3,22,-3.7986428661029747,-4.960262952596261,4,1447,27,3,Non-Confined,8105
4,22,-3.231520300345095,-5.602569717447678,5,1390,27,4,Non-Confined,8105
5,22,-4.328122450380169,-4.732788062010033,6,1337,27,5,Non-Confined,8105
6,22,-4.454869749160426,-4.667190297275365,7,1364,27,6,Non-Confined,8105
