,r_major_axis,Confiner height ($\mu$m),p_agg_min/z_length_x
339,0.2875157789450238,$<3.0$,0.3168309717260745
340,0.0694967721543213,$<3.0$,0.498619691084963
341,0.1737841141138876,$<3.0$,0.4616602191576606
342,0.4132983657760757,$<3.0$,0.1988717515676694
343,0.1319426959510531,$<3.0$,0.3306431671813252
344,0.3616314068163948,$<3.0$,0.214473541855848
345,0.2724863854106171,$<3.0$,0.2459589657729756
346,0.3618594459582704,$<5.0$ -- $3.0$,0.3506468653153331
347,0.260602183787524,$<5.0$ -- $3.0$,0.2507103839820184
348,0.3836965259802217,$<5.0$ -- $3.0$,0.0117281823038454
349,0.1693169618669352,$<5.0$ -- $3.0$,0.261047033405769
350,0.2050757417547282,$<5.0$ -- $3.0$,0.2084374170378038
351,0.1158112150954021,$<5.0$ -- $3.0$,0.3796835597246586
352,0.2662751477556694,$<5.0$ -- $3.0$,0.1700944857662279
353,0.170926590237936,$<5.0$ -- $3.0$,0.27503480729707
354,0.2132466848702935,$<5.0$ -- $3.0$,0.2478618719646106
355,0.2164700434616568,$<5.0$ -- $3.0$,0.3572979159457553
356,0.2813171332003217,$<5.0$ -- $3.0$,0.3503787666306053
357,0.0669103990252417,$<5.0$ -- $3.0$,0.3647130658275996
358,0.2025149794873585,$<5.0$ -- $3.0$,0.3729552964258006
359,0.0985021388338245,$<5.0$ -- $3.0$,0.3480751967299834
360,0.3817133234010117,$<5.0$ -- $3.0$,0.1476914205223505
361,0.3071898077325637,$<3.0$,0.1753237215058497
362,0.3017698071229989,$<3.0$,0.2148534898841352
363,0.4666777820240166,$<3.0$,0.1106725086395043
364,0.2453955387276072,$<3.0$,0.1660943040577624
365,0.2971604985879734,Non-confined,0.0397587791291744
366,0.237450238309485,Non-confined,0.0416847191507564
367,0.2610071155733733,Non-confined,0.1411400001074621
368,0.224875621740179,Non-confined,0.1661831832520458
369,0.1509830695346165,Non-confined,0.1320279554521474
370,0.3306715943501401,Non-confined,0.0962929778383719
371,0.2486543228271402,Non-confined,0.1693296752529687
372,0.2334036365274361,Non-confined,0.1599708973592223
373,0.222388893337991,Non-confined,0.1133401012079014
374,0.3519875003119445,Non-confined,0.057081645845829
375,0.1631894646003354,Non-confined,0.1039478289189382
376,0.3642554696587159,Non-confined,0.0381587278302137
377,0.1891310926985507,Non-confined,0.1345863987495451
378,0.2122798812353064,Non-confined,0.1527123314088952
379,0.3548216240082235,Non-confined,0.2578132152941056
380,0.2921068213787374,Non-confined,0.3857717790893398
381,0.2892972318311349,Non-confined,0.2288187576601317
382,0.3565925344297563,Non-confined,0.3171859052369952
383,0.4097904728881356,Non-confined,0.1901901446844923
384,0.131119148303193,Non-confined,0.4281918901238614
385,0.4431772777583734,Non-confined,0.0855423691260007
386,0.417106978083498,Non-confined,0.1483844422015258
387,0.2785642863498547,Non-confined,0.3786531160950074
388,0.3800678507661998,Non-confined,0.3214721686684842
389,0.308651624635022,Non-confined,0.2782931294072711
390,0.3910495202365745,Non-confined,0.2847840830477536
391,0.3955725025443449,Non-confined,0.306754983047603
392,0.4063684620507578,Non-confined,0.2570394453141344
393,0.2857881216040296,Non-confined,0.179265382881774
394,0.1687283110170581,Non-confined,0.2191155753416977
395,0.3160428574070352,Non-confined,0.1863169361851026
396,0.2617245793064907,Non-confined,0.2571312867529049
397,0.1086659766140043,Non-confined,0.2450129571123537
398,0.1280534001868645,Non-confined,0.2015152422377929
399,0.044030051023935,Non-confined,0.3402580290867802
400,0.1911737641583714,Non-confined,0.2036394279969517
401,0.2082435426662686,Non-confined,0.3089274859714483
402,0.0553441800079665,Non-confined,0.3469593914600122
403,0.2623260354794117,Non-confined,0.2720737894064081
404,0.0943123124284159,Non-confined,0.363322986120293
405,0.0699084004513829,Non-confined,0.3700612478353216
406,0.1203617176849322,Non-confined,0.2942091419334163
407,0.2304374961918505,Non-confined,0.1922904988163918
408,0.082526088113083,Non-confined,0.2297431720888873
409,0.3296437476620364,Non-confined,0.1899108129457707
410,0.0763239015572336,Non-confined,0.2748754516783156
411,0.1083616163053854,Non-confined,0.2694607663723364
